scan,scan_ns,pid,alias,anchor_rep,published_raw,d,y,v,a,member_age_s
198,3385190305777,1000004,36,5,5,14.204666137695312,-4.03125,-1.75,0.5929406785364539,0.02590492
199,3385290554216,1000004,36,5,5,13.699878692626953,-4.0625,-2.0,0.1226925058758217,0.025060521000000002
200,3385390453782,1000004,36,5,5,13.45037841796875,-4.28125,-2.0,-0.1345516351080035,0.024810806
201,3385491144887,1000004,36,5,5,13.451944351196289,-4.3125,-2.0,-0.2435793121665789,0.024027963000000003
202,3385590136623,1000004,36,5,5,12.949090957641602,-4.40625,-2.0,-0.2691336345079118,0.025454754000000003
203,3385690857100,1000004,36,5,5,12.69644832611084,-4.40625,-2.25,-0.7742400327349332,0.023800693
204,3385790129121,1000004,36,5,5,12.44168472290039,-4.15625,-2.25,-0.9135362105375959,0.025917887
205,3385890850223,1000004,36,5,5,12.19610595703125,-4.15625,-2.25,-0.9796196032914156,0.023953023
206,3385989838366,1000004,36,5,5,11.948689460754395,-4.1875,-2.0,-0.6099900970895266,0.025655412000000002
207,3386090480256,1000004,36,5,5,11.949158668518066,-4.21875,-2.0,-0.6244214936333182,0.025420852
208,3386191976701,1000004,36,5,5,11.722501754760742,-4.21875,-2.0,-0.7542175660182312,0.013748998
209,3386292328723,1000004,36,5,5,11.720321655273438,-4.1875,-2.25,-1.3871974740729107,0.01319025
210,3386391830983,1000004,36,5,5,11.453743934631348,-4.1875,-2.0,-0.8349609389081372,0.023128154
211,3386490200643,1000004,36,5,5,11.19448471069336,-4.125,-2.25,-1.1882757263680879,0.024673267000000002
212,3386590319615,1000004,36,5,5,10.938838005065918,-4.0625,-2.25,-1.1767665371078428,0.027183183000000003
213,3386690804542,1000004,36,5,5,10.941381454467773,-4.03125,-2.25,-1.1434124382402309,0.026052666000000002
214,3386790344611,1000004,36,5,5,10.685639381408691,-3.9375,-2.5,-1.4989249518901837,0.025744310000000003
215,3386890417077,1000004,36,5,5,10.187949180603027,-3.78125,-2.5,-1.5611285104269128,0.024820492000000003
216,3386990425122,1000004,36,5,5,9.962450981140137,-3.75,-2.5,-1.5977208748516702,0.01501971
217,3387090992176,1000004,36,5,5,9.94067096710205,-3.6875,-2.5,-1.618255747206921,0.023731533000000003
218,3387190697073,1000004,36,5,5,9.687216758728027,-3.65625,-2.5,-1.6449233112565884,0.025113328
