key,pid,pattern,start_scan,end_scan,duration_s,representatives,stable_members,member_sets
00000247--b657952782--25,1000016,A_B_A,10,12,0.200227397,22|17|22,1,17|22;17|22;17|22
00000247--b657952782--25,1000045,A_B_A,18,32,1.399335878,51|46|51,1,46|51;46|51;46|51
00000247--b657952782--25,1000052,A_B_A,23,25,0.200800058,58|53|58,1,53|58;53|58;53|58
00000247--b657952782--25,1000052,A_B_A,24,27,0.298073984,53|58|53,1,53|58;53|58;53|58
00000247--b657952782--25,1000030,A_B_A,28,30,0.20000008900000002,32|31|32,1,31|32;31|32;31|32
00000247--b657952782--25,1000045,A_B_A,31,33,0.19966477800000001,46|51|46,1,46|51;46|51;46|51
00000247--b657952782--25,1000055,A_B_A,31,33,0.19966477800000001,58|55|58,1,55|58;55|58;55|58
00000247--b657952782--25,1000055,A_B_A,32,35,0.300521576,55|58|55,1,55|58;55|58;55|58
00000247--b657952782--25,1000052,A_B_A,34,36,0.19926916600000003,54|53|54,1,53|54;53|54;53|54
00000247--b657952782--25,1000055,A_B_A,34,36,0.19926916600000003,58|55|58,1,55|58;55|58;55|58
00000247--b657952782--25,1000080,A_B_A,40,43,0.299701492,53|77|53,1,53|77;53|77;53|77
00000247--b657952782--25,1000093,A_B_A,42,45,0.300479473,55|88|55,1,55|88;55|88;55|88
00000247--b657952782--25,1000117,A_B_A,66,69,0.299909972,107|106|107,1,106|107;106|107;106|107
00000247--b657952782--25,1000178,A_B_A,120,122,0.19757843700000002,177|162|177,1,162|177;162|177;162|177
00000247--b657952782--25,1000216,A_B_A,149,159,0.999404821,200|198|200,1,198|200;198|200;198|200
00000247--b657952782--25,1000257,A_B_A,183,185,0.20003184100000002,241|238|241,1,238|241;238|241;238|241
