key,candidate,scans,baseline_fractures,suppressed_fractures,grouping_changed_scans,member_count_changed_scans,new_merge_objects,new_split_objects,new_merge_episodes,persistent_new_merges,publication_changed_scans,representative_changes,pid_births,relaxed_edge_scans,state_peak,cpu_mean_us,cpu_p95_us,cpu_p99_us,cpu_max_us
00000285--27dca1de75--21,C_QUANTIZED,600,13,10,10,7,10,3,10,0,596,41,419,15,20,119.06412137379134,605.9549999999994,937.8329999999997,75029.0
00000285--27dca1de75--22,C_QUANTIZED,600,5,2,2,2,2,0,2,0,386,31,356,3,10,120.80886666666655,566.005,861.245000000001,139697.0
00000285--27dca1de75--23,C_QUANTIZED,600,24,14,14,13,14,1,14,0,371,133,482,17,22,131.15456362425016,652.2799999999996,1119.2040000000006,120650.1
00000285--27dca1de75--24,C_QUANTIZED,600,16,9,9,8,9,1,9,0,345,78,393,10,14,112.70191602799068,580.59,959.0559999999991,74160.5
00000285--27dca1de75--25,C_QUANTIZED,600,27,23,20,13,24,12,24,0,503,33,262,35,48,133.06741629185402,512.3399999999995,1387.173999999993,154382.1
00000285--27dca1de75--26,C_QUANTIZED,600,21,14,14,9,14,5,14,0,280,82,441,23,28,130.43431666666692,767.9100000000003,1334.0300000000007,65790.5
00000285--27dca1de75--27,C_QUANTIZED,599,30,17,17,12,17,8,17,0,403,62,549,26,28,143.49110592938032,869.7049999999994,1429.7160000000006,79675.7
00000285--27dca1de75--28,C_QUANTIZED,599,44,15,15,13,15,4,15,0,573,113,701,22,38,174.5402199266914,1145.0649999999996,1864.0779999999995,92683.4
00000285--27dca1de75--29,C_QUANTIZED,600,48,21,33,20,33,13,25,2,481,202,768,32,48,238.94362818590625,1521.4699999999998,2435.313999999985,142036.1
00000285--27dca1de75--3,C_QUANTIZED,599,14,10,10,10,10,0,10,0,344,45,538,10,16,153.26217702950456,917.2999999999995,1301.9339999999993,103960.1
