event_id,key,route,segment,split_scan,split_ns,parent_pid,parent_alias,parent_published_before,published_child_count,published_child_pids,publication_gap,new_public_point,alias_change,representative_change,external_visible,internal_only
00000245--2c15eb5d45--19:468:1000568:537|538,00000245--2c15eb5d45--19,00000245,19,468,1242699090613,1000568,84,1,2,1000568|1000619,0,1,0,0,1,0
00000245--2c15eb5d45--19:469:1000558:536|576,00000245--2c15eb5d45--19,00000245,19,469,1242799811439,1000558,79,1,2,1000558|1000619,0,1,0,1,1,0
00000245--2c15eb5d45--19:469:1000603:579|583,00000245--2c15eb5d45--19,00000245,19,469,1242799811439,1000603,62,1,2,1000603|1000618,0,1,0,1,1,0
00000245--2c15eb5d45--19:473:1000619:536|538|576,00000245--2c15eb5d45--19,00000245,19,473,1243199530411,1000619,74,1,2,1000619|1000624,0,1,0,1,1,0
00000245--2c15eb5d45--19:474:1000618:579|592,00000245--2c15eb5d45--19,00000245,19,474,1243298639201,1000618,50,1,2,1000618|1000625,0,1,0,0,1,0
00000245--2c15eb5d45--19:479:1000603:579|583,00000245--2c15eb5d45--19,00000245,19,479,1243799275028,1000603,62,1,2,1000599|1000618,0,1,0,0,1,0
00000245--2c15eb5d45--19:481:1000619:536|576,00000245--2c15eb5d45--19,00000245,19,481,1243999569796,1000619,74,1,2,1000619|1000634,0,1,0,0,1,0
00000245--2c15eb5d45--19:501:1000642:611|622,00000245--2c15eb5d45--19,00000245,19,501,1245999797696,1000642,68,1,2,1000642|1000663,0,1,0,0,1,0
00000245--2c15eb5d45--19:517:1000677:622|645,00000245--2c15eb5d45--19,00000245,19,517,1247599155328,1000677,39,1,2,1000677|1000693,0,1,0,0,1,0
00000245--2c15eb5d45--19:524:1000702:669|673,00000245--2c15eb5d45--19,00000245,19,524,1248299498564,1000702,91,1,2,1000702|1000711,0,1,0,0,1,0
00000245--2c15eb5d45--19:573:1000735:701|758,00000245--2c15eb5d45--19,00000245,19,573,1253199838671,1000735,66,1,2,1000735|1000818,0,1,0,0,1,0
00000245--2c15eb5d45--19:582:1000808:773|789,00000245--2c15eb5d45--19,00000245,19,582,1254098693784,1000808,90,1,2,1000808|1000839,0,1,0,0,1,0
00000245--2c15eb5d45--21:10:1000013:14|22,00000245--2c15eb5d45--21,00000245,21,10,1316898985022,1000013,45,1,2,1000013|1000028,0,1,0,0,1,0
00000245--2c15eb5d45--21:20:1000034:33|40,00000245--2c15eb5d45--21,00000245,21,20,1317898562897,1000034,66,1,2,1000034|1000045,0,1,0,0,1,0
00000245--2c15eb5d45--21:38:1000022:23|25,00000245--2c15eb5d45--21,00000245,21,38,1319699094090,1000022,54,1,2,1000022|1000068,0,1,0,0,1,0
00000245--2c15eb5d45--21:91:1000124:108|121,00000245--2c15eb5d45--21,00000245,21,91,1324999552059,1000124,46,1,2,1000124|1000156,0,1,0,0,1,0
00000245--2c15eb5d45--21:91:1000146:143|145,00000245--2c15eb5d45--21,00000245,21,91,1324999552059,1000146,72,1,2,1000146|1000157,0,1,0,0,1,0
00000245--2c15eb5d45--21:272:1000285:280|282,00000245--2c15eb5d45--21,00000245,21,272,1343098837508,1000285,84,1,2,1000285|1000292,0,1,0,0,1,0
00000245--2c15eb5d45--21:281:1000307:302|304,00000245--2c15eb5d45--21,00000245,21,281,1343999469303,1000307,59,1,2,1000307|1000314,0,1,0,1,1,0
