key,policy,pid,pattern,start_scan,end_scan,duration_s,stable_members
00000247--b657952782--27,P0,1000519,A_B_A,339,357,1.7998555770000002,1
00000247--b657952782--27,P0,1000716,A_B_A,568,579,1.099910041,1
00000247--b657952782--27,P0,1000731,A_B_A,578,580,0.200739557,1
00000247--b657952782--27,P0,1000731,A_B_A,579,583,0.400448481,1
00000247--b657952782--27,P0,1000731,A_B_A,582,586,0.400007347,1
00000247--b657952782--27,P0,1000731,A_B_A,585,587,0.19949164100000003,1
00000247--b657952782--27,P0,1000731,A_B_A,586,588,0.200888656,1
00000247--b657952782--28,P0,1000058,A_B_A,55,57,0.20046117900000002,1
00000247--b657952782--28,P0,1000140,A_B_A,120,139,1.8993776960000002,1
00000247--b657952782--28,P0,1000140,A_B_A,138,140,0.200222124,1
00000247--b657952782--28,P0,1000140,A_B_A,139,141,0.200949797,1
00000247--b657952782--28,P0,1000140,A_B_A,140,142,0.19962892100000001,1
00000247--b657952782--28,P0,1000159,A_B_A,139,141,0.200949797,1
00000247--b657952782--28,P0,1000159,A_B_A,140,142,0.19962892100000001,1
00000247--b657952782--28,P0,1000159,A_B_A,141,143,0.199437001,1
00000247--b657952782--28,P0,1000159,A_B_A,142,144,0.200825577,1
00000247--b657952782--28,P0,1000159,A_B_A,143,145,0.20013962000000002,1
00000247--b657952782--28,P0,1000159,A_B_A,144,146,0.200200295,1
00000247--b657952782--28,P0,1000225,A_B_A,186,188,0.20012995900000002,1
00000247--b657952782--28,P0,1000221,A_B_A,186,188,0.20012995900000002,1
00000247--b657952782--28,P0,1000239,A_B_A,186,188,0.20012995900000002,1
00000247--b657952782--28,P0,1000263,A_B_A,210,212,0.20202641300000002,1
00000247--b657952782--28,P0,1000274,A_B_A,211,213,0.19924925400000001,1
00000247--b657952782--28,P0,1000274,A_B_A,212,214,0.19737673900000002,1
00000247--b657952782--28,P0,1000274,A_B_A,213,215,0.199480438,1
00000247--b657952782--28,P0,1000274,A_B_A,214,216,0.199969113,1
00000247--b657952782--28,P0,1000274,A_B_A,215,217,0.200767251,1
00000247--b657952782--28,P0,1000489,A_B_A,376,378,0.199400808,1
00000247--b657952782--28,P0,1000489,A_B_A,377,379,0.20087031900000002,1
00000247--b657952782--28,P0,1000489,A_B_A,378,380,0.199922449,1
00000247--b657952782--28,P0,1000491,A_B_A,376,378,0.199400808,1
00000247--b657952782--28,P0,1000491,A_B_A,377,379,0.20087031900000002,1
00000247--b657952782--28,P0,1000491,A_B_A,378,380,0.199922449,1
00000247--b657952782--28,P0,1000516,A_B_A,377,379,0.20087031900000002,1
00000247--b657952782--28,P0,1000516,A_B_A,378,380,0.199922449,1
00000247--b657952782--28,P0,1000516,A_B_A,379,393,1.3991078970000002,1
00000247--b657952782--28,P0,1000516,A_B_A,392,394,0.199448813,1
00000247--b657952782--28,P0,1000516,A_B_A,393,395,0.200702293,1
00000247--b657952782--28,P0,1000502,A_B_A,379,393,1.3991078970000002,1
00000247--b657952782--28,P0,1000502,A_B_A,392,394,0.199448813,1
00000247--b657952782--28,P0,1000502,A_B_A,393,395,0.200702293,1
00000247--b657952782--28,P0,1000502,A_B_A,394,396,0.200169976,1
00000247--b657952782--28,P0,1000555,A_B_A,416,418,0.200343496,1
00000247--b657952782--28,P0,1000599,A_B_A,457,459,0.199817977,1
00000247--b657952782--29,P0,1000173,A_B_A,228,231,0.30018105500000003,1
00000247--b657952782--29,P0,1000192,A_B_A,251,253,0.200608806,1
00000247--b657952782--29,P0,1000192,A_B_A,252,254,0.20111872700000002,1
00000247--b657952782--29,P0,1000192,A_B_A,253,255,0.19954000500000002,1
00000247--b657952782--29,P0,1000192,A_B_A,254,256,0.19825809100000003,1
00000247--b657952782--29,P0,1000192,A_B_A,255,258,0.29960277900000004,1
00000247--b657952782--29,P0,1000393,A_B_A,395,397,0.199130893,1
00000247--b657952782--29,P0,1000393,A_B_A,396,398,0.19969492700000002,1
00000247--b657952782--29,P0,1000393,A_B_A,397,402,0.49907458800000004,1
00000247--b657952782--29,P0,1000391,A_B_A,396,398,0.19969492700000002,1
00000247--b657952782--29,P0,1000525,A_B_A,463,465,0.199368867,1
00000247--b657952782--29,P0,1000525,A_B_A,464,466,0.200654791,1
00000247--b657952782--29,P0,1000531,A_B_A,463,467,0.399991784,1
00000247--b657952782--29,P0,1000531,A_B_A,466,468,0.20002149000000002,1
00000247--b657952782--29,P0,1000531,A_B_A,467,469,0.200011491,1
00000247--b657952782--29,P0,1000538,A_B_A,475,477,0.200667442,1
00000247--b657952782--29,P0,1000556,A_B_A,477,479,0.19910970900000002,1
00000247--b657952782--29,P0,1000556,A_B_A,478,480,0.200853473,1
00000247--b657952782--29,P0,1000556,A_B_A,479,481,0.200300949,1
00000247--b657952782--29,P0,1000559,A_B_A,477,481,0.39941065800000003,1
00000247--b657952782--29,P0,1000559,A_B_A,480,482,0.199541353,1
00000247--b657952782--29,P0,1000559,A_B_A,481,483,0.199786078,1
00000247--b657952782--3,P0,1000040,A_B_A,49,51,0.20098136400000002,1
00000247--b657952782--3,P0,1000040,A_B_A,50,52,0.19929741,1
00000247--b657952782--3,P0,1000040,A_B_A,51,54,0.30000006900000004,1
00000247--b657952782--3,P0,1000040,A_B_A,53,56,0.29934408900000004,1
00000247--b657952782--3,P0,1000040,A_B_A,55,58,0.302689682,1
00000247--b657952782--30,P0,1000267,A_B_A,393,400,0.7008929610000001,1
00000247--b657952782--30,P0,1000267,A_B_A,399,401,0.198856477,1
00000247--b657952782--30,P0,1000267,A_B_A,400,402,0.199949073,1
00000247--b657952782--31,P0,1000001,A_B_A,5,8,0.30172366100000003,1
00000247--b657952782--31,P0,1000055,A_B_A,52,54,0.191500886,1
00000247--b657952782--31,P0,1000042,A_B_A,44,46,0.19962321900000002,1
00000247--b657952782--31,P0,1000042,A_B_A,45,47,0.19948822700000002,1
00000247--b657952782--31,P0,1000042,A_B_A,46,52,0.600028085,1
00000247--b657952782--31,P0,1000042,A_B_A,51,53,0.19963181000000002,1
00000247--b657952782--31,P0,1000044,A_B_A,44,46,0.19962321900000002,1
00000247--b657952782--31,P0,1000044,A_B_A,45,47,0.19948822700000002,1
00000247--b657952782--31,P0,1000044,A_B_A,46,52,0.600028085,1
00000247--b657952782--31,P0,1000044,A_B_A,51,53,0.19963181000000002,1
00000247--b657952782--31,P0,1000102,A_B_A,84,86,0.19268789600000003,1
00000247--b657952782--31,P0,1000105,A_B_A,85,98,1.299568971,1
00000247--b657952782--31,P0,1000105,A_B_A,97,99,0.20033014300000002,1
00000247--b657952782--36,P0,1000105,A_B_A,135,140,0.49946166500000005,1
00000247--b657952782--36,P0,1000244,A_B_A,229,231,0.198457991,1
00000247--b657952782--36,P0,1000244,A_B_A,230,234,0.398209066,1
00000247--b657952782--36,P0,1000244,A_B_A,233,235,0.19989776,1
00000247--b657952782--6,P0,1000374,A_B_A,240,242,0.20069139400000002,1
00000247--b657952782--6,P0,1000363,A_B_A,225,227,0.20023531800000002,1
00000247--b657952782--6,P0,1000371,A_B_A,225,227,0.20023531800000002,1
00000247--b657952782--6,P0,1000371,A_B_A,226,229,0.30106132700000005,1
00000247--b657952782--6,P0,1000371,A_B_A,228,230,0.20226828700000002,1
00000247--b657952782--6,P0,1000371,A_B_A,229,232,0.298465845,1
00000247--b657952782--6,P0,1000371,A_B_A,231,233,0.19967175,1
00000247--b657952782--6,P0,1000371,A_B_A,232,235,0.30032643600000003,1
00000247--b657952782--6,P0,1000371,A_B_A,234,236,0.20004990800000003,1
