event_id,scan,pid,category,abs_delta_d,abs_delta_y,abs_delta_v,publication_divergence_scans,publication_divergence_duration_s,key,policy
00000247--b657952782--13:64:1000088,64,1000088,R1_STABLE_GROUP_REP_CHANGE,2.0,0.03125,0.25,5,0.40019642200000005,00000247--b657952782--13,E
00000247--b657952782--13:219:1000224,219,1000224,R1_STABLE_GROUP_REP_CHANGE,1.75,0.0625,0.25,2,0.100960459,00000247--b657952782--13,E
00000247--b657952782--13:221:1000224,221,1000224,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.75,0.09375,0.25,0,0.0,00000247--b657952782--13,E
00000247--b657952782--13:225:1000250,225,1000250,R1_STABLE_GROUP_REP_CHANGE,2.0,0.0625,0.25,20,1.899880247,00000247--b657952782--13,E
00000247--b657952782--13:248:1000296,248,1000296,R1_STABLE_GROUP_REP_CHANGE,2.25,0.125,0.0,3,0.199880058,00000247--b657952782--13,E
00000247--b657952782--14:172:1000127,172,1000127,R1_STABLE_GROUP_REP_CHANGE,2.5,0.5625,0.25,4,0.29903203100000003,00000247--b657952782--14,E
00000247--b657952782--14:307:1000302,307,1000302,R1_STABLE_GROUP_REP_CHANGE,1.25,1.09375,0.0,52,5.099916355,00000247--b657952782--14,E
00000247--b657952782--14:399:1000428,399,1000428,R1_STABLE_GROUP_REP_CHANGE,2.0,0.59375,0.25,2,0.09972900900000001,00000247--b657952782--14,E
00000247--b657952782--14:432:1000460,432,1000460,R1_STABLE_GROUP_REP_CHANGE,0.25,0.28125,0.0,32,3.100391774,00000247--b657952782--14,E
00000247--b657952782--15:404:1000339,404,1000339,R1_STABLE_GROUP_REP_CHANGE,2.0,0.6875,0.0,4,0.29998677900000004,00000247--b657952782--15,E
00000247--b657952782--15:440:1000363,440,1000363,R1_STABLE_GROUP_REP_CHANGE,2.25,0.53125,0.0,2,0.10029982500000001,00000247--b657952782--15,E
00000247--b657952782--15:450:1000443,450,1000443,R5_GROUP_MERGE_REP_CHANGE,2.0,1.125,0.0,15,1.399570186,00000247--b657952782--15,E
00000247--b657952782--15:496:1000541,496,1000541,R1_STABLE_GROUP_REP_CHANGE,0.75,1.09375,0.25,53,5.199440697,00000247--b657952782--15,E
00000247--b657952782--15:499:1000541,499,1000541,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.5,1.40625,0.0,53,5.199440697,00000247--b657952782--15,E
00000247--b657952782--16:84:1000080,84,1000080,R5_GROUP_MERGE_REP_CHANGE,1.5,0.125,0.0,2,0.09967758500000001,00000247--b657952782--16,E
00000247--b657952782--16:103:1000104,103,1000104,R1_STABLE_GROUP_REP_CHANGE,1.75,0.0625,0.0,1,0.0,00000247--b657952782--16,E
00000247--b657952782--16:240:1000194,240,1000194,R1_STABLE_GROUP_REP_CHANGE,1.75,0.1875,0.25,5,0.400024207,00000247--b657952782--16,E
00000247--b657952782--16:245:1000194,245,1000194,R2_MEMBER_DISAPPEAR_REP_CHANGE,3.0,0.21875,0.5,0,0.0,00000247--b657952782--16,E
00000247--b657952782--16:443:1000393,443,1000393,R5_GROUP_MERGE_REP_CHANGE,0.25,0.34375,0.0,1,0.0,00000247--b657952782--16,E
00000247--b657952782--16:444:1000393,444,1000393,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.25,0.875,0.0,0,0.0,00000247--b657952782--16,E
00000247--b657952782--17:161:1000206,161,1000206,R1_STABLE_GROUP_REP_CHANGE,2.75,0.09375,0.0,1,0.0,00000247--b657952782--17,E
00000247--b657952782--17:194:1000249,194,1000249,R1_STABLE_GROUP_REP_CHANGE,2.75,0.15625,0.0,2,0.099753003,00000247--b657952782--17,E
00000247--b657952782--17:234:1000313,234,1000313,R1_STABLE_GROUP_REP_CHANGE,2.75,0.28125,0.0,2,0.100006434,00000247--b657952782--17,E
00000247--b657952782--17:563:1000565,563,1000565,R1_STABLE_GROUP_REP_CHANGE,1.5,0.8125,0.25,23,2.2003713940000003,00000247--b657952782--17,E
00000247--b657952782--18:412:1000489,412,1000489,R1_STABLE_GROUP_REP_CHANGE,3.0,0.34375,0.0,1,0.0,00000247--b657952782--18,E
00000247--b657952782--18:413:1000489,413,1000489,R1_STABLE_GROUP_REP_CHANGE,0.25,0.625,0.0,0,0.0,00000247--b657952782--18,E
