key,policy,scan,scan_ns,pid,baseline_raw,candidate_raw,delta_d,delta_y,delta_v,aLead,reason
00000254--0ac259250e--15,P2,84,963910733420,1000069,69,73,-2.0,0.125,0.0,0.03331226604574107,P2_CAUSAL_PINGPONG
00000254--0ac259250e--17,P2,137,1089200981696,1000133,133,141,-1.0066604614257812,0.21875,-0.25,0.18481650465085725,P2_CAUSAL_PINGPONG
00000254--0ac259250e--19,P2,294,1224890870066,1000223,209,220,-2.25,-0.5,0.0,-0.12841021842611816,P2_CAUSAL_PINGPONG
00000254--0ac259250e--19,P2,298,1225290151899,1000219,205,207,-2.162050247192383,-0.09375,0.0,-0.35483974039065,P2_CAUSAL_PINGPONG
00000254--0ac259250e--19,P2,298,1225290151899,1000224,203,210,-2.2679271697998047,0.09375,-0.25,-0.04813116169197349,P2_CAUSAL_PINGPONG
00000254--0ac259250e--19,P2,310,1226483301029,1000224,203,210,-2.25,-0.0625,0.0,-0.3622240442547447,P2_CAUSAL_PINGPONG
00000254--0ac259250e--19,P2,312,1226690989013,1000216,212,211,-2.186616897583008,-0.03125,0.0,-0.13410581805717436,P2_CAUSAL_PINGPONG
00000254--0ac259250e--19,P2,322,1227690466369,1000233,218,254,-2.2693710327148438,0.03125,-0.25,0.2995311156979211,P2_CAUSAL_PINGPONG
00000254--0ac259250e--19,P2,322,1227690466369,1000241,228,225,-2.171955108642578,-0.0625,0.0,-0.2576982439103636,P2_CAUSAL_PINGPONG
00000254--0ac259250e--19,P2,322,1227690466369,1000255,241,239,-2.1525797843933105,-0.28125,0.25,-0.04861318749092208,P2_CAUSAL_PINGPONG
00000254--0ac259250e--19,P2,329,1228383079369,1000242,242,226,-2.25,-0.03125,0.0,-0.2240889715615015,P2_CAUSAL_PINGPONG
00000254--0ac259250e--19,P2,331,1228591282458,1000280,263,262,-1.5200424194335938,-0.1875,-0.25,0.19674811264038092,P2_CAUSAL_PINGPONG
00000254--0ac259250e--19,P2,332,1228690653810,1000252,257,256,-1.5741710662841797,0.0,0.0,-0.19885350025839166,P2_CAUSAL_PINGPONG
00000254--0ac259250e--19,P2,336,1229090931692,1000280,263,262,-1.7570571899414062,-0.25,-0.25,-0.022881615128393543,P2_CAUSAL_PINGPONG
00000254--0ac259250e--19,P2,346,1230081748833,1000276,258,271,-2.25,0.15625,0.0,-0.1832346200823485,P2_CAUSAL_PINGPONG
00000254--0ac259250e--19,P2,346,1230081748833,1000279,261,228,-1.9770498275756836,-0.125,0.25,0.09878181014193545,P2_CAUSAL_PINGPONG
00000254--0ac259250e--19,P2,355,1230981984624,1000233,218,254,-2.2432403564453125,-0.03125,0.25,-0.803367225320322,P2_CAUSAL_PINGPONG
00000254--0ac259250e--19,P2,361,1231591016756,1000314,295,292,-1.25,-0.28125,0.0,-0.1859466669447119,P2_CAUSAL_PINGPONG
00000254--0ac259250e--2,P2,361,211620620195,1000483,420,419,-0.3166007995605469,0.65625,0.0,-0.028785682394835588,P2_CAUSAL_PINGPONG
00000254--0ac259250e--2,P2,562,231711098927,1000706,616,640,-0.5414047241210938,0.4375,0.75,0.15468142594479725,P2_CAUSAL_PINGPONG
00000254--0ac259250e--20,P2,216,1277080570425,1000292,284,296,-2.0,-0.1875,0.0,-0.20823933623044766,P2_CAUSAL_PINGPONG
00000254--0ac259250e--20,P2,309,1286381382487,1000430,416,423,2.25,0.71875,0.0,0.12880180901612603,P2_CAUSAL_PINGPONG
00000254--0ac259250e--20,P2,319,1287380983482,1000375,374,363,-0.2568855285644531,-0.59375,-0.25,0.9560394572886566,P2_CAUSAL_PINGPONG
00000254--0ac259250e--20,P2,326,1288081105846,1000375,374,363,-0.5083770751953125,-0.5,-0.25,0.539112128744197,P2_CAUSAL_PINGPONG
00000254--0ac259250e--20,P2,327,1288180643281,1000468,451,460,0.24324798583984375,0.53125,-0.25,0.008380692974676807,P2_CAUSAL_PINGPONG
00000254--0ac259250e--22,P2,272,1402670311807,1000306,286,296,-1.25,0.3125,0.0,-0.7418935080555603,P2_CAUSAL_PINGPONG
00000254--0ac259250e--22,P2,278,1403270957108,1000306,286,296,-1.0,0.28125,0.0,-0.1134308450622768,P2_CAUSAL_PINGPONG
00000254--0ac259250e--23,P2,454,1480870365411,1000331,309,266,-1.0,0.03125,0.0,1.1743257724094893,P2_CAUSAL_PINGPONG
00000254--0ac259250e--23,P2,476,1483062090481,1000342,312,310,-0.25,0.53125,0.0,-0.4113247531453777,P2_CAUSAL_PINGPONG
00000254--0ac259250e--23,P2,518,1487260885932,1000447,412,411,-0.75,-0.3125,0.0,-1.0087945835020415,P2_CAUSAL_PINGPONG
00000254--0ac259250e--23,P2,548,1490261151881,1000482,444,463,-1.2421112060546875,-0.46875,0.25,-0.4417641308841259,P2_CAUSAL_PINGPONG
00000254--0ac259250e--23,P2,565,1491960653574,1000530,455,488,-1.25,-0.125,0.0,0.0,P2_CAUSAL_PINGPONG
00000254--0ac259250e--23,P2,577,1493160979517,1000484,446,499,-1.7576026916503906,-0.1875,-0.25,-0.8101231909438336,P2_CAUSAL_PINGPONG
00000254--0ac259250e--23,P2,591,1494560481114,1000530,455,488,-0.48947906494140625,0.0,0.25,-0.4943135221142212,P2_CAUSAL_PINGPONG
00000254--0ac259250e--24,P2,186,1514061132623,1000175,176,186,-0.75,0.03125,0.0,0.0177428588371603,P2_CAUSAL_PINGPONG
00000254--0ac259250e--24,P2,552,1550660950655,1000620,578,581,2.25,-0.09375,0.0,0.08093108908213892,P2_CAUSAL_PINGPONG
00000254--0ac259250e--25,P2,450,1600460180794,1000294,266,242,1.0,0.125,0.0,-0.6380246605438833,P2_CAUSAL_PINGPONG
00000254--0ac259250e--25,P2,486,1604060360227,1000069,276,62,1.2540359497070312,0.75,0.25,0.030479234181754467,P2_CAUSAL_PINGPONG
00000254--0ac259250e--26,P2,230,1638450742756,1000213,197,207,-0.757415771484375,0.09375,-0.25,-0.04202855669898947,P2_CAUSAL_PINGPONG
00000254--0ac259250e--26,P2,365,1651951051052,1000358,315,314,1.75,-0.78125,0.0,-0.7276338382777633,P2_CAUSAL_PINGPONG
00000254--0ac259250e--26,P2,400,1655450344739,1000364,320,379,-1.25,-0.1875,0.0,0.16351602687279115,P2_CAUSAL_PINGPONG
00000254--0ac259250e--29,P2,196,1815041294002,1000219,184,195,-0.7656183242797852,0.0625,-0.25,0.46035963615856534,P2_CAUSAL_PINGPONG
00000254--0ac259250e--29,P2,308,1826241048783,1000333,291,295,-1.7433137893676758,-0.0625,0.25,-0.04170652175137026,P2_CAUSAL_PINGPONG
00000254--0ac259250e--29,P2,393,1834740425656,1000493,440,451,-0.4863433837890625,1.03125,0.5,0.34495651957831697,P2_CAUSAL_PINGPONG
00000254--0ac259250e--30,P2,165,1872041209077,1000165,172,161,-0.5,-0.125,0.0,0.15859152919319655,P2_CAUSAL_PINGPONG
00000254--0ac259250e--30,P2,216,1877140433918,1000248,241,237,-0.5,0.0625,0.0,-0.0005761733854218749,P2_CAUSAL_PINGPONG
00000254--0ac259250e--30,P2,221,1877641164253,1000248,237,235,-0.659027099609375,0.0,0.0,-0.10630235198684275,P2_CAUSAL_PINGPONG
00000254--0ac259250e--30,P2,337,1889241312329,1000376,356,353,-0.5,0.09375,0.0,-0.13082853181040954,P2_CAUSAL_PINGPONG
