case,route,segment,scan_s,scan_ns,raw_slot,raw_track_id,physical_pid,public_id,d_rel_m,y_rel_m,v_rel_mps,members,representative,camera_assoc,oem_word1,published,state,prior_gt
R264_S6_SPLIT,route264,6,5.799865,438761749074,0|12,1|32,1000037,69,2.25,0.28125,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,5.899582,438861466057,17|18|26,9|25|36,1000000,32,5.5,-0.0625,0.0,9|25|36,9,1,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,5.899582,438861466057,0|12,1|32,1000037,69,2.0,0.34375,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,5.999745,438961628614,17|18|26,9|25|36,1000000,32,5.5,-0.09375,0.0,9|25|36,9,1,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,5.999745,438961628614,0|12,1|32,1000037,69,2.0,0.28125,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,6.099664,439061548095,17|18|26,9|25|36,1000000,32,5.5,-0.09375,0.0,9|25|36,9,1,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,6.099664,439061548095,0|12,1|32,1000037,69,2.0,0.34375,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,6.199819,439161703254,17|18|26,9|25|36,1000000,32,5.5,-0.09375,0.0,9|25|36,9,1,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,6.199819,439161703254,0|12,1|32,1000037,69,2.25,0.28125,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,6.299744,439261627788,17|18|26,9|25|36,1000000,32,5.5,-0.09375,0.0,9|25|36,9,1,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,6.299744,439261627788,0|12,1|32,1000037,69,2.25,0.28125,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,6.399875,439361759088,17|18|26,9|25|36,1000000,32,5.5,-0.09375,0.0,9|25|36,9,1,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,6.399875,439361759088,0|12,1|32,1000037,69,2.0,0.34375,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,6.499771,439461655126,17|18|26,9|25|36,1000000,32,5.5,-0.09375,0.0,9|25|36,9,1,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,6.499771,439461655126,0|12,1|32,1000037,69,2.25,0.28125,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,6.599166,439561049694,17|18|26,9|25|36,1000000,32,5.5,-0.09375,0.0,9|25|36,9,1,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,6.599166,439561049694,0|12,1|32,1000037,69,2.25,0.28125,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,6.700106,439661990138,17|18|26,9|25|36,1000000,32,5.5,-0.03125,0.0,9|25|36,9,1,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,6.700106,439661990138,0|12,1|32,1000037,69,2.25,0.0625,0.0,1|32,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,6.802302,439764186183,17|18|26,9|25|36,1000000,32,5.5,-0.03125,0.0,9|25|36,9,1,0,0,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
