key,policy,scan,scan_ns,effect,baseline_lead1,candidate_lead1,baseline_lead2,candidate_lead2
00000252--d191bee66c--1,E,393,173648223837,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,394,173748711791,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,395,173850353852,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,396,173948161055,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,397,174047672107,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,398,174148175371,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,399,174248337583,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,400,174348001815,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,401,174448419921,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,402,174548059887,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,403,174648403996,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,404,174748071456,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,405,174848419471,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,406,174948040742,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,407,175048334183,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,408,175148308411,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,409,175247913306,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,410,175349647292,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,411,175449531138,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,412,175548423337,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,413,175648495900,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,414,175747882230,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,415,175848279735,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,416,175948807113,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,417,176048348520,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,418,176148890531,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,419,176248138112,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,420,176348634304,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,421,176448402030,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,422,176548152831,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,423,176648332516,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,424,176748039001,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,425,176848177444,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,426,176948791012,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,427,177048811974,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,428,177147932468,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,429,177248352656,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,430,177348671789,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,431,177448112165,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,432,177548379432,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,433,177647866935,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,434,177748587616,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,435,177847817506,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,436,177948369204,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,437,178048254349,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,438,178147940412,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,439,178248283680,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,440,178348757040,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,441,178448480263,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,442,178549275965,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,443,178649206914,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,444,178748738554,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,445,178847679458,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,446,178948853484,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,447,179048639873,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,448,179148575353,LEAD_ID_CHANGED,87,36,-1,-1
00000252--d191bee66c--1,E,449,179248387231,LEAD_ID_CHANGED,87,36,-1,-1
